,Tempo (ns),Lx (nm),Ly (nm),Lz (nm),Pxx (mN/nm2),s_Pxx (mN/nm2),Pyy (mN/nm2),s_Pyy (mN/nm2),Pzz (mN/nm2),s_Pzz (mN/nm2)
67,135,11.95685,11.95685,25.8332,-5.659342086987752,0.0253380783758519,-5.665950763762019,0.0247459077039986,-0.0087134305288461,0.0222308622363145
68,137,11.83685,11.83685,25.8332,-5.639060703371109,0.0265210607916616,-5.567953648955472,0.0254703555104281,-0.0097269461338141,0.023648336196257
69,139,11.71685,11.71685,25.8332,-5.564794987236723,0.0258269406016973,-5.590555159475161,0.0252140263438501,0.0839598214085393,0.0229867026740142
70,141,11.59685,11.59685,25.8332,-5.526811267138851,0.0265787428452427,-5.558491212024954,0.0268124953703663,0.0020833504263965,0.0250718060711031
71,143,11.47685,11.47685,25.8332,-5.556072316394803,0.0266837070322933,-5.52147418620364,0.0284622011011396,0.0414901575578067,0.0241860699351131
72,145,11.35685,11.35685,25.8332,-5.41724699694082,0.0278125361785083,-5.510624349959936,0.0287869335050428,0.0193307071943681,0.0255771908152946
73,147,11.23685,11.23685,25.8332,-5.361537887657395,0.0291671575942546,-5.40859500596669,0.0273694173098238,0.0125283346554487,0.0255946227344669
74,149,11.11685,11.11685,25.8332,-5.38850935787832,0.0291507666030381,-5.33724349715831,0.0284574684762834,-0.0026387506610576,0.0255150924968722
75,151,10.99685,10.99685,25.8332,-5.345850719794528,0.0308522741783189,-5.344157873872482,0.0295842887787443,0.0144703158310439,0.0271002670189153
76,153,10.87685,10.87685,25.8332,-5.196413075938645,0.0312473994522162,-5.279583335150527,0.0298718489707788,-0.0242599486979166,0.0272811874448086
77,155,10.75685,10.75685,25.8332,-5.182523084635417,0.031341092399871,-5.211110636049108,0.0306397963463504,-0.0099450732858287,0.029075345892889
78,157,10.63685,10.63685,25.8332,-5.055277768984662,0.0333990043504096,-5.082288745026328,0.032334870461028,0.0032261300108745,0.0290346497711183
79,159,10.51685,10.51685,25.8332,-5.013786429243932,0.03159868210137,-5.000752501980311,0.0319135699765153,-0.0698394536258013,0.0293914310264767
80,161,10.39685,10.39685,25.8332,-4.91226056357887,0.0328295777964685,-4.934585058230311,0.0337239730415989,0.0145320633842719,0.030223142547705
81,163,10.27685,10.27685,25.8332,-4.739117168606914,0.0319614512037741,-4.768469431521863,0.034531921621108,0.0713055185868818,0.0309744388324779
82,165,10.15685,10.15685,25.8332,-4.54938833213141,0.0331413812550305,-4.630756028577152,0.0336297002170631,0.0077590660742902,0.0348378314087965
83,167,10.03685,10.03685,25.8332,-4.619869404635989,0.0363738883287121,-4.458383741566506,0.0367437790878428,0.0904806536773122,0.0328729839740868
84,169,9.91685,9.91685,25.8332,-4.366406787754694,0.0369130247108881,-4.462140967622482,0.0380583400868928,-0.0042261465058379,0.03400790834664
85,171,9.79685,9.79685,25.8332,-4.257045172135417,0.0376882028983444,-4.314207813842148,0.0393772442614875,0.0058699079470009,0.0350504312567766
86,173,9.67685,9.67685,25.8332,-4.065957701502404,0.0389409264187846,-4.101139702967606,0.0391118096891693,-0.0440944215945512,0.0343498021786032
87,175,9.55685,9.55685,25.8332,-3.972670277744391,0.0387200044526966,-3.821539645592949,0.0390640270499717,0.0762185725074404,0.036201706897608
88,177,9.43685,9.43685,25.8332,-3.712171531124084,0.0438603822738177,-3.631015215112752,0.0425024023236401,-0.0121698630866529,0.0395338750535734
89,179,9.31685,9.31685,25.8332,-3.677232485699977,0.0441327574483298,-3.534483609031593,0.0434269805688522,-0.0192905993246336,0.037997337231172
90,181,9.19685,9.19685,25.8332,-3.367821211023352,0.0447101407188778,-3.286814067942995,0.046772373003652,0.0538340948031135,0.040977496273067
91,183,9.07685,9.07685,25.8332,-3.08058808801511,0.0459089309802345,-3.069540726004464,0.0442921442717408,-0.0219526057406135,0.0419797921608602
92,185,8.95685,8.95685,25.8332,-2.814283683559409,0.0468810762273195,-2.719298789735005,0.0474796973593895,0.0146278304344093,0.0431558748000106
93,187,8.83685,8.83685,25.8332,-2.363121026571086,0.0484006979592595,-2.387640668280678,0.0497653442364734,0.0075164793641254,0.0465048544566982
94,189,8.71685,8.71685,25.8332,-2.1048801734375,0.0505399891464258,-2.139643973509043,0.0497159101494839,0.0286222814417353,0.0501589337181708
95,191,8.59685,8.59685,25.8332,-1.580446751201923,0.0514760566140253,-1.668938032054144,0.0542692515505074,-0.004815143008814,0.048191830149392
96,193,8.47685,8.47685,25.8332,-1.007463550641026,0.0513902086577663,-1.193270158301855,0.0536051282258574,0.0351814539863781,0.0513937564282445
97,195,8.35685,8.35685,25.8332,-0.661805528783196,0.0573474285938405,-0.4891710804773352,0.0560530118194018,0.1319371258184523,0.0500255233326607
98,197,8.23685,8.23685,25.8332,-0.0019593621937957,0.0560293784241934,0.0911093430975274,0.0572747856897141,0.0205255996165293,0.0525757414755659
99,199,8.11685,8.11685,25.8332,0.0224301076379349,0.0574345895532125,-0.0597069345238095,0.0583605192433734,-0.0452542540464743,0.0567897911116173
